Bin	Sequences	Proportion	Patterns	Percent Full
other	9999.0	0.9999	264	100.0%
untileable_sequences	1.0	0.0001	0	0.0%
Totals	10000.0	1.0	264


Subclassification	Sequences	Proportion of Sample	Tile Patterns	Proportion with a Full Payload
other	9999.0	0.9999	264	1.0
Subclassification	Sequence Count	Repeats	Proportion of other	Linearity	Contains Irregular ITRs	Contains PolyX	Contains a Full Payload	Tokenized	Tile Pattern
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[4-2865](+) Payload[1-2864](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[4-2864](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[3-2865](+) Payload[5-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[3-2865](+) Payload[1-2865](+) Payload[5-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[3-2865](+) Payload[1-2865](+) Payload[4-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[21-2865](+) Payload[1-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[2-2865](+) Payload[1-1326](+) polyG[59-None](+) Payload[1325-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-756](+) polyG[875-None](+) Payload[750-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[5-2865](+) Payload[1-2863](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[5-1229](+) polyA[239-None](+) Payload[1226-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2709](+) polyA[99-None](+) Payload[2705-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[4-2865](+) Payload[1-2421](+) polyA[1068-None](+) Payload[2413-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2864](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[4-2862](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[3-2865](+) Payload[4-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[5-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[4-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[2-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[2-2865](+) Payload[1-2864](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-626](+) polyA[120-None](+) Payload[625-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-541](+) polyC[88-None](+) Payload[539-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-538](+) polyT[63-None](+) Payload[534-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-353](+) polyC[167-None](+) Payload[335-2865](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P	Payload[1-2865](+) Payload[1-2865](+) polyG[87-None](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[5-2435](+) polyT[63-None](+) Payload[2427-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2864](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[4-2860](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-989](+) polyT[78-None](+) Payload[979-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-989](+) polyT[152-None](+) Payload[979-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-851](+) polyG[138-None](+) Payload[847-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2862](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2859](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2692](+) polyA[1069-None](+) Payload[2687-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2620](+) polyC[56-None](+) Payload[2619-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2187](+) polyA[76-None](+) Payload[2177-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2114](+) polyA[71-None](+) Payload[2094-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2070](+) polyG[60-None](+) Payload[2069-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-2051](+) Payload[2448-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-1846](+) polyC[93-None](+) Payload[1845-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-1229](+) polyA[331-None](+) Payload[1226-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	True	True	P P P P	Payload[1-2865](+) Payload[1-2865](+) Payload[1-1011](+) polyG[118-None](+) Payload[990-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2863](+) Payload[5-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2862](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2860](+) Payload[1-2865](+)
other	1.0	0	0.00010001000100010001	forward_linear	False	False	True	P P P	Payload[1-2865](+) Payload[1-2856](+) Payload[37-2865](+)
